case_id,model,status,service_mode,fallback_used,requested_domain_type,effective_domain_type,domain_adaptation,material,medium_id,temperature_c,pressure_mpa,time_ms,frequency_hz,source_x,source_y,source_z,probe_x,probe_y,probe_z,direction_x,direction_y,direction_z,azimuth_deg,elevation_deg,magnitude,travel_time_ms_pred,max_displacement,max_temperature_perturbation,wave_type,model_version,error_code,error_message,http_status
case_001_basalt,pinn,ok,checkpoint,False,rect_3d,rect_3d,none,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.26,0.74,0.6,0.6,0.717314,0.204185,0.66616,15.889,41.771,0.035133,0.11319,1.4497e-05,0.326097,physics_informed,pinn-baseline@best_model.pth,,,200
case_001_basalt,mgn,ok,rollout,False,rect_3d,rect_3d,none,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.26,0.74,0.6,0.6,0.824243,0.264935,0.500433,17.8189,30.0287,1.0,3.46158,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
case_001_basalt,fno,ok,checkpoint,False,rect_3d,rect_2d,rect_3d_to_rect_2d,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.26,0.74,0.6,0.6,-0.964585,-0.263772,0.0,-164.706,0.0,20605753.253962,1.71909,17790334.0,2470045.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_001_basalt,transformer,ok,checkpoint,False,rect_3d,rect_3d,none,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.26,0.74,0.6,0.6,0.570481,0.201423,0.796229,19.447,52.771,1.0,0.135882,0.001585146,390.330353,tokenset,oformer-baseline@best_model.pth,,,200
case_002_basalt,pinn,ok,checkpoint,False,rect_3d,rect_3d,none,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.18,0.68,0.52,0.52,0.74633,0.15553,0.647149,11.772,40.327,0.034952,0.106372,1.1223e-05,0.016311,physics_informed,pinn-baseline@best_model.pth,,,200
case_002_basalt,mgn,ok,rollout,False,rect_3d,rect_3d,none,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.18,0.68,0.52,0.52,0.824243,0.264935,0.500433,17.8189,30.0287,1.0,1.66158,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
case_002_basalt,fno,ok,checkpoint,False,rect_3d,rect_2d,rect_3d_to_rect_2d,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.18,0.68,0.52,0.52,-0.964585,-0.263772,0.0,-164.706,0.0,20605751.338404,1.11909,17790338.0,2470057.25,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_002_basalt,transformer,ok,checkpoint,False,rect_3d,rect_3d,none,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.18,0.68,0.52,0.52,0.592434,0.170888,0.787286,16.09,51.933,1.0,0.135882,0.001585118,364.524811,tokenset,oformer-baseline@best_model.pth,,,200
case_003_basalt,pinn,ok,checkpoint,False,rect_3d,rect_3d,none,basalt,basalt,60.0,60.0,4.0,75.0,0.24,0.58,0.34,0.58,0.66,0.7,0.614645,0.002445,0.7888,0.228,52.074,0.036505,0.078948,2.1936e-05,0.084584,physics_informed,pinn-baseline@best_model.pth,,,200
case_003_basalt,mgn,ok,rollout,False,rect_3d,rect_3d,none,basalt,basalt,60.0,60.0,4.0,75.0,0.24,0.58,0.34,0.58,0.66,0.7,0.677834,0.15949,0.717707,13.2405,45.8655,1.0,1.383746,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
