case_id,model,status,service_mode,fallback_used,requested_domain_type,effective_domain_type,domain_adaptation,material,medium_id,temperature_c,pressure_mpa,time_ms,frequency_hz,source_x,source_y,source_z,probe_x,probe_y,probe_z,direction_x,direction_y,direction_z,azimuth_deg,elevation_deg,magnitude,travel_time_ms_pred,max_displacement,max_temperature_perturbation,wave_type,model_version,error_code,error_message,http_status
case_001_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.961306,0.275482,0.0,15.991,0.0,0.035271,0.097997,1.5547e-05,0.349873,physics_informed,pinn-baseline@best_model.pth,,,200
case_001_basalt,mgn,ok,rollout,False,rect_2d,rect_2d,none,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,3.31909,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
case_001_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.804564,0.593866,0.0,36.4318,0.0,71744.780056,1.71909,66372.4921875,119228.8359375,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_001_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,320.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.944044,0.329819,0.0,19.258,0.0,1.0,0.117644,0.001585146,390.330353,tokenset,oformer-baseline@best_model.pth,,,200
case_002_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035055,0.092094,1.2036e-05,0.0175,physics_informed,pinn-baseline@best_model.pth,,,200
case_002_basalt,mgn,ok,rollout,False,rect_2d,rect_2d,none,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,1.51909,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
case_002_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.804592,0.593828,0.0,36.4291,0.0,71747.043162,1.11909,66374.9609375,119226.1484375,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_002_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.960038,0.27987,0.0,16.252,0.0,1.0,0.117644,0.001585118,364.524811,tokenset,oformer-baseline@best_model.pth,,,200
case_003_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,60.0,4.0,75.0,0.24,0.58,0.0,0.58,0.66,0.0,0.999283,0.037856,0.0,2.17,0.0,0.03696,0.054975,2.5223e-05,0.097316,physics_informed,pinn-baseline@best_model.pth,,,200
case_003_basalt,mgn,ok,rollout,False,rect_2d,rect_2d,none,basalt,basalt,60.0,60.0,4.0,75.0,0.24,0.58,0.0,0.58,0.66,0.0,0.973417,0.229039,0.0,13.2405,0.0,1.0,1.145758,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
case_003_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,60.0,4.0,75.0,0.24,0.58,0.0,0.58,0.66,0.0,0.804563,0.593867,0.0,36.4319,0.0,71744.780056,0.745758,66372.4921875,119227.015625,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_003_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,60.0,4.0,75.0,0.24,0.58,0.0,0.58,0.66,0.0,0.994091,0.108546,0.0,6.232,0.0,1.0,0.069857,0.001585117,364.524567,tokenset,oformer-baseline@best_model.pth,,,200
