case_id,model,status,service_mode,fallback_used,requested_domain_type,effective_domain_type,domain_adaptation,material,medium_id,temperature_c,pressure_mpa,time_ms,frequency_hz,source_x,source_y,source_z,probe_x,probe_y,probe_z,direction_x,direction_y,direction_z,azimuth_deg,elevation_deg,magnitude,travel_time_ms_pred,max_displacement,max_temperature_perturbation,wave_type,model_version,error_code,error_message,http_status
case_001_limestone,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,limestone,limestone,120.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.975927,0.218095,0.0,12.597,0.0,0.044683,0.103703,1.6806e-05,0.112107,physics_informed,pinn-baseline@best_model.pth,,,200
case_001_limestone,mgn,ok,rollout,False,rect_2d,rect_2d,none,limestone,limestone,120.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,1.614168,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
case_001_limestone,fno,ok,checkpoint,False,rect_2d,rect_2d,none,limestone,limestone,120.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.804566,0.593863,0.0,36.4316,0.0,71744.780056,1.214168,66372.4921875,119227.015625,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_001_limestone,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,limestone,limestone,120.0,25.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.959587,0.281413,0.0,16.345,0.0,1.0,0.132184,0.002010753,698.13269,tokenset,oformer-baseline@best_model.pth,,,200
case_002_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035051,0.092988,1.2009e-05,0.052487,physics_informed,pinn-baseline@best_model.pth,,,200
case_002_basalt,mgn,ok,rollout,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,1.51909,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
case_002_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.804566,0.593863,0.0,36.4316,0.0,71744.780056,1.11909,66372.4921875,119227.015625,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_002_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.960226,0.279224,0.0,16.214,0.0,1.0,0.117644,0.001585117,364.524567,tokenset,oformer-baseline@best_model.pth,,,200
case_003_sandstone,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,sandstone,sandstone_medium,180.0,5.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.956051,0.293201,0.0,17.05,0.0,0.040279,0.098856,1.4716e-05,0.196163,physics_informed,pinn-baseline@best_model.pth,,,200
case_003_sandstone,mgn,ok,rollout,False,rect_2d,rect_2d,none,sandstone,sandstone_medium,180.0,5.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,3.353351,0.0020457988139241934,3.21051025390625,dominant_p,real-meshgraphnet-v1,,,200
