case_id,model,status,service_mode,fallback_used,requested_domain_type,effective_domain_type,domain_adaptation,material,medium_id,temperature_c,pressure_mpa,time_ms,frequency_hz,source_x,source_y,source_z,probe_x,probe_y,probe_z,direction_x,direction_y,direction_z,azimuth_deg,elevation_deg,magnitude,travel_time_ms_pred,max_displacement,max_temperature_perturbation,wave_type,model_version,error_code,error_message,http_status
case_001_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035051,0.092988,1.2009e-05,0.052487,physics_informed,pinn-baseline@best_model.pth,,,200
case_001_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,1.51909,0.00142,0.92857143,dominant_p,mgn-service-fallback-v1,,,200
case_001_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,-0.712784,-0.701383,0.0,-135.4619,0.0,1.0,1.11909,12888267.0,31016538341376.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_001_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.960226,0.279224,0.0,16.214,0.0,1.0,0.117644,0.001585117,364.524689,tokenset,oformer-baseline@best_model.pth,,,200
case_002_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035079,0.091837,1.2203e-05,0.0175,physics_informed,pinn-baseline@best_model.pth,,,200
case_002_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,1.51909,0.00150667,0.64285714,dominant_p,mgn-service-fallback-v1,,,200
case_002_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,-0.712784,-0.701384,0.0,-135.4619,0.0,1.0,1.11909,12888207.0,31016433483776.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200
case_002_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.960038,0.27987,0.0,16.252,0.0,1.0,0.117644,0.001585117,364.524811,tokenset,oformer-baseline@best_model.pth,,,200
case_003_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,120.0,25.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035068,0.093981,1.3447e-05,0.104967,physics_informed,pinn-baseline@best_model.pth,,,200
case_003_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,120.0,25.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,2.71909,0.0017,1.35714286,dominant_p,mgn-service-fallback-v1,,,200
