epoch,learning_rate,train_loss,train_mae,train_relative_l2,train_rmse,val_loss,val_mae,val_relative_l2,val_rmse
1,0.001,52570427217674.32,2968787.376950798,1.0020085287094116,7104055.977281375,50546952594038.164,2854564.9366958807,1.0085348349351149,6830719.252914915
2,0.001,52570396683141.29,2968786.5686942576,0.999871597290039,7104053.8822015,50546952594038.164,2854564.9392020954,1.0172883455569928,6830719.255183454
3,0.001,52570339976151.05,2968785.2710697223,1.0162985467910766,7104049.974925089,50546952594038.164,2854564.944579207,1.0332320378376887,6830719.259315321
4,0.001,52570265820856.33,2968783.1558827497,1.034197120666504,7104044.979341822,50546951303483.09,2854564.8776510083,1.0702162430836604,6830719.115053644
5,0.001,52570163815383.08,2968780.8124747705,1.0436075973510741,7104038.120912585,50546943560152.67,2854564.9008321213,1.1702606127812312,6830718.6794416625
6,0.001,52570426211041.46,2968787.9706225013,1.0394349241256713,7104055.884580317,50546935816822.414,2854564.5822656523,1.4589333350841815,6830718.292712789
7,0.001,52570415473623.73,2968787.3867905806,1.2748107671737672,7104055.325686512,50546919039607.59,2854565.068959676,2.2045525037325344,6830717.409017673
8,0.001,52570206093970.84,2968783.3041547392,2.3902442502975463,7104041.332274475,50546877741851.03,2854565.9246883392,3.81660742026109,6830714.903707064
9,0.001,52570157775600.96,2968785.220501404,4.010330624580384,7104038.511268845,50546802889681.445,2854568.471105429,6.991424450507531,6830710.649543469
10,0.001,52570160124461.87,2968791.0991241457,3.640777225494385,7104039.468800659,50546663509829.86,2854573.4274811377,13.069490341039804,6830702.840069991
11,0.001,52570087982592.4,2968800.347803345,12.29953323841095,7104035.963760376,50546440244136.86,2854582.1276256857,23.97665075155405,6830690.589758066
12,0.001,52569520577659.7,2968804.160822144,14.952482733726502,7104000.0730975345,50546078889752.8,2854597.0104769194,42.390716497714706,6830670.900256817
13,0.001,52569288717772.26,2968828.206913452,5.2443811798095705,7103987.849849243,50545527825623.66,2854620.044735248,71.83060809282156,6830641.298886812
14,0.001,52568494152743.38,2968858.3832543944,51.06682857513428,7103940.637294922,50544735432425.34,2854654.5103478064,118.20006311856784,6830599.930983324
15,0.001,52567277477756.65,2968892.0295166015,75.29102919578553,7103867.2572680665,50543552011036.28,2854706.6330566406,185.12582685397223,6830537.12105619
