epoch,learning_rate,train_loss,train_mae,train_relative_l2,train_rmse,val_loss,val_mae,val_relative_l2,val_rmse
1,0.001,768631478681.6244,296077.7853085804,1.0013701820373535,859002.9710147381,738516250939.133,284656.45544411585,1.0001074625895574,825655.7575643796
2,0.001,768432202055.7186,296069.29350272176,0.9992085552215576,858891.6690846443,738516190444.3645,284656.4581129643,0.9984303621145395,825655.7194978228
3,0.001,768648989900.8257,296078.1161438942,0.997646918296814,859012.7967448282,738516089619.7507,284656.44346142735,0.9967835316291223,825655.662757062
4,0.001,768583836631.0674,296075.40243357775,0.9963732671737671,858976.4027849818,738515928300.3717,284656.43320265185,0.9956613595669086,825655.5697137805
5,0.001,768608577781.8165,296073.09379033087,0.996991868019104,858990.1823827171,738515504837.0187,284656.4555065815,1.0035516298734224,825655.3545167721
6,0.001,768746659512.5145,296080.76961629867,1.022788519859314,859067.4129940319,738514335271.703,284656.4375913602,1.0800426006317139,825654.7714314827
7,0.001,768605867213.5948,296077.04412281036,1.1463926124572754,858988.8630981254,738511391194.1023,284656.10263131215,1.3954094373262846,825653.2992912806
8,0.001,768458599959.8132,296069.6822451401,1.7097184753417969,858906.76484375,738504656116.1163,284654.87291306717,2.2636533883901744,825649.9668769103
9,0.001,768429077315.8165,296057.74030685425,3.085263481140137,858890.6699158478,738490278558.6028,284652.77046541066,4.216796288123498,825642.9173227457
10,0.001,768452497343.0736,296062.50084106444,4.868154544830322,858904.9388972473,738462551931.2515,284648.75497671275,8.148606006915752,825629.4176547711
11,0.001,768478329239.3148,296061.41529266356,10.178275947570802,858921.0174557496,738411978842.6238,284642.0274763841,15.499310126671425,825604.8302624042
12,0.001,768413113967.2987,296053.3429748535,17.91580909729004,858887.9909326172,738325452964.7179,284634.00510230433,28.478387979360726,825562.9631558931
13,0.001,768608524574.3572,296067.98848205566,29.555309143066406,859003.472845459,738184687065.2476,284632.5557239239,50.13455493633564,825495.0463749812
14,0.001,768328079155.8313,296058.0142333984,51.90923858642578,858854.5344384765,737965368102.8582,284636.5422574557,84.59931124173679,825389.6086942232
15,0.001,767976457806.94,296053.84427490237,85.98675231933593,858671.412458496,737628429942.0577,284644.4228633,137.6078608586238,825227.5602886493
16,0.001,767407192774.09,296056.4917150879,136.42561614990234,858372.7247119141,737136837636.9327,284656.2274592473,215.7732872596154,824991.4793607271
17,0.001,766710115630.75,296051.59595214843,231.03882263183593,858009.3450488282,736432451598.2307,284672.36299015925,327.9163818359375,824653.035569411
18,0.001,766220163551.4,296086.70219726564,311.8663317871094,857778.9661035156,735459540551.4615,284695.1141263522,484.12843205378607,824185.8982684796
19,0.001,764990851829.76,296099.85682617186,435.3271008300781,857148.0580273437,734144973892.1538,284726.3407076322,696.8124812199519,823554.8600510817
20,0.001,763629092854.4,296154.3365625,638.6457446289063,856455.32234375,732435680100.0,284770.37528170075,979.7498309795673,822736.6654897836
21,0.001,761591379606.72,296167.6378027344,850.2726684570313,855406.53015625,730200081843.0769,284826.8599571815,1351.1819598858174,821665.0070612981
22,0.001,759330109310.4,296250.8294921875,1420.4825244140625,854246.80359375,727372882675.6923,284902.0940880409,1829.1471041165864,820310.7370042067
