model,feature,association_type,mean_observed_association,max_observed_association,n_outputs_used
pinn,Cp_J_kgK,observed_spearman_abs_correlation,0.3947039620607789,0.9685939875857768,4
mgn,Cp_J_kgK,observed_spearman_abs_correlation,0.03686194580916565,0.03686194580916565,1
fno,Cp_J_kgK,observed_spearman_abs_correlation,0.04905285643389544,0.06482074595859139,4
transformer,Cp_J_kgK,observed_spearman_abs_correlation,0.41392388727219626,0.7761870564538035,3
pinn,E_GPa,observed_spearman_abs_correlation,0.37872252447757226,0.7748751900686214,4
mgn,E_GPa,observed_spearman_abs_correlation,0.09312491572841848,0.09312491572841848,1
fno,E_GPa,observed_spearman_abs_correlation,0.06237224895195438,0.1200384184418359,4
transformer,E_GPa,observed_spearman_abs_correlation,0.31436850564668456,0.5821402923403527,3
pinn,K_GPa,observed_spearman_abs_correlation,0.19325086465682484,0.23442173887288786,4
mgn,K_GPa,observed_spearman_abs_correlation,0.13774727118161903,0.13774727118161903,1
fno,K_GPa,observed_spearman_abs_correlation,0.07723306068337021,0.16296860252473236,4
transformer,K_GPa,observed_spearman_abs_correlation,0.2122040060177467,0.38809352822690174,3
pinn,Vp_m_s,observed_spearman_abs_correlation,0.2968791493131064,0.4726516949778964,4
mgn,Vp_m_s,observed_spearman_abs_correlation,0.1687889097577585,0.1687889097577585,1
fno,Vp_m_s,observed_spearman_abs_correlation,0.07868813749162676,0.1687889097577585,4
transformer,Vp_m_s,observed_spearman_abs_correlation,0.23672980606132818,0.38926790376257114,3
pinn,Vs_m_s,observed_spearman_abs_correlation,0.37872252447757226,0.7748751900686214,4
mgn,Vs_m_s,observed_spearman_abs_correlation,0.09312491572841848,0.09312491572841848,1
fno,Vs_m_s,observed_spearman_abs_correlation,0.06237224895195438,0.1200384184418359,4
transformer,Vs_m_s,observed_spearman_abs_correlation,0.31436850564668456,0.5821402923403527,3
pinn,alpha_1e6_K,observed_spearman_abs_correlation,0.30704802219360405,0.7748751900686214,4
mgn,alpha_1e6_K,observed_spearman_abs_correlation,0.06984368679631386,0.06984368679631386,1
fno,alpha_1e6_K,observed_spearman_abs_correlation,0.15421025209921893,0.17654931940179341,4
transformer,alpha_1e6_K,observed_spearman_abs_correlation,0.43851477904879954,0.9702338205672544,3
pinn,k_W_mK,observed_spearman_abs_correlation,0.1888998291600955,0.3874375950343107,4
mgn,k_W_mK,observed_spearman_abs_correlation,0.031041638576139497,0.031041638576139497,1
fno,k_W_mK,observed_spearman_abs_correlation,0.059462095335441306,0.1200384184418359,4
transformer,k_W_mK,observed_spearman_abs_correlation,0.2664912810951911,0.5839018556438568,3
pinn,mu_GPa,observed_spearman_abs_correlation,0.37872252447757226,0.7748751900686214,4
mgn,mu_GPa,observed_spearman_abs_correlation,0.09312491572841848,0.09312491572841848,1
fno,mu_GPa,observed_spearman_abs_correlation,0.06237224895195438,0.1200384184418359,4
transformer,mu_GPa,observed_spearman_abs_correlation,0.31436850564668456,0.5821402923403527,3
pinn,porosity_percent,observed_spearman_abs_correlation,0.30704802219360405,0.7748751900686214,4
mgn,porosity_percent,observed_spearman_abs_correlation,0.06984368679631386,0.06984368679631386,1
fno,porosity_percent,observed_spearman_abs_correlation,0.15421025209921893,0.17654931940179341,4
transformer,porosity_percent,observed_spearman_abs_correlation,0.43851477904879954,0.9702338205672544,3
pinn,rho_kg_m3,observed_spearman_abs_correlation,0.1888998291600955,0.3874375950343107,4
mgn,rho_kg_m3,observed_spearman_abs_correlation,0.031041638576139497,0.031041638576139497,1
fno,rho_kg_m3,observed_spearman_abs_correlation,0.059462095335441306,0.1200384184418359,4
transformer,rho_kg_m3,observed_spearman_abs_correlation,0.2664912810951911,0.5839018556438568,3
