model,material,n_cases,mean_travel_time_ms,std_travel_time_ms,mean_max_displacement,std_max_displacement,mean_max_temperature_perturbation,std_max_temperature_perturbation,mean_magnitude,std_magnitude
fno,basalt,9,1.3220531111111111,0.32569743666033224,66373.04079861111,1.0886164248649108,119227.08506944444,0.1377995474524487,71745.28296844446,0.9979359444269706
fno,granite,14,1.341262857142857,0.15982373805821556,66373.02120535714,1.051231555515182,119227.12834821429,0.5604238049679056,71745.26500728572,0.9636651911584355
fno,limestone,8,1.438540125,0.2773662554681277,66373.109375,1.1428091856577,119227.3212890625,0.6280816535648096,71745.3458325,1.0476145113583921
fno,sandstone,9,1.2823724444444444,0.28359095698387105,66372.41753472222,1.410146030472531,119227.71961805556,0.9963728503331987,71744.69641755556,1.3301340885688295
mgn,basalt,9,2.210942,0.8330249150751736,0.0020457988139241,0.0,3.21051025390625,0.0,1.0,0.0
mgn,granite,14,2.2555485714285712,0.4839748299634084,0.0020457988139241,0.0,3.21051025390625,0.0,1.0,0.0
mgn,limestone,8,2.638540125,0.7477232755607303,0.0020457988139241,0.0,3.21051025390625,0.0,1.0,0.0
mgn,sandstone,9,2.3045946666666666,0.7423636259308845,0.0020457988139241,0.0,3.21051025390625,0.0,1.0,0.0
pinn,basalt,9,0.08923322222222223,0.012297331679858215,1.5045111111111112e-05,4.008223965936922e-06,0.10776177777777779,0.09167102856243321,0.03537222222222222,0.0006150542207354109
pinn,granite,14,0.09012821428571428,0.01561616401818504,1.4850714285714286e-05,3.079474866036327e-06,0.20263335714285713,0.17209122775953953,0.025747714285714287,0.0006094262659472219
pinn,limestone,8,0.08537525,0.020342982944283973,2.4345875000000002e-05,6.907859259826551e-06,0.145578625,0.17499643835799097,0.045341,0.0007330390751619499
pinn,sandstone,9,0.07994544444444444,0.016871703145437855,1.809288888888889e-05,4.985350475253581e-06,0.24471055555555557,0.16026470031412965,0.04068666666666667,0.0006226620271061956
transformer,basalt,9,0.11233433333333334,0.015929,0.0015851168888888888,7.817359600062707e-10,366.84319055555557,3.477889837056618,1.0,0.0
transformer,granite,14,0.11252442857142857,0.018626946476354274,0.001384980642857143,4.972451580487059e-10,282.9812662142857,6.649141995268642,1.0,0.0
transformer,limestone,8,0.109293,0.026573322013951184,0.0020106727500000003,3.579755578247218e-07,700.390838375,6.383456517848095,1.0,0.0
transformer,sandstone,9,0.10157266666666666,0.022200474696501424,0.0013450686666666668,1.9726253445598913e-06,733.801785,0.4747737869656616,1.0,0.0
