case_id,model,status,service_mode,fallback_used,requested_domain_type,effective_domain_type,domain_adaptation,material,medium_id,temperature_c,pressure_mpa,time_ms,frequency_hz,source_x,source_y,source_z,probe_x,probe_y,probe_z,direction_x,direction_y,direction_z,azimuth_deg,elevation_deg,magnitude,travel_time_ms_pred,max_displacement,max_temperature_perturbation,wave_type,model_version,error_code,error_message,http_status,medium_id_material,name,category,rho_kg_m3,Vp_m_s,Vs_m_s,E_Pa,K_Pa,mu_Pa,k_W_mK,Cp_J_kgK,alpha_1_K,porosity_percent,E_GPa,K_GPa,mu_GPa,alpha_1e6_K,input_azimuth_deg
case_001_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035051,0.092988,1.2009e-05,0.052487,physics_informed,pinn-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,12.186648412622535
case_001_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,1.51909,0.00142,0.92857143,dominant_p,mgn-service-fallback-v1,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,17.818871381494606
case_001_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,-0.712784,-0.701383,0.0,-135.4619,0.0,1.0,1.11909,12888267.0,31016538341376.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,-135.46190798570618
case_001_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.960226,0.279224,0.0,16.214,0.0,1.0,0.117644,0.001585117,364.524689,tokenset,oformer-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,16.213895962743265
case_002_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035079,0.091837,1.2203e-05,0.0175,physics_informed,pinn-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,12.186648412622535
case_002_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,1.51909,0.00150667,0.64285714,dominant_p,mgn-service-fallback-v1,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,17.818871381494606
case_002_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,-0.712784,-0.701384,0.0,-135.4619,0.0,1.0,1.11909,12888207.0,31016433483776.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,-135.46186714618494
case_002_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,20.0,60.0,4.0,25.0,0.12,0.34,0.0,0.68,0.52,0.0,0.960038,0.27987,0.0,16.252,0.0,1.0,0.117644,0.001585117,364.524811,tokenset,oformer-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,16.252444568602968
case_003_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,120.0,25.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035068,0.093981,1.3447e-05,0.104967,physics_informed,pinn-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,12.186648412622535
case_003_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,120.0,25.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,2.71909,0.0017,1.35714286,dominant_p,mgn-service-fallback-v1,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,17.818871381494606
case_003_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,120.0,25.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,-0.712785,-0.701383,0.0,-135.462,0.0,1.0,1.51909,12888335.0,31016718696448.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,-135.4619481719977
case_003_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,120.0,25.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.96052,0.278211,0.0,16.153,0.0,1.0,0.117644,0.001585117,364.524139,tokenset,oformer-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,16.153460319147992
case_004_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.961306,0.275482,0.0,15.991,0.0,0.035173,0.092988,1.4872e-05,0.065607,physics_informed,pinn-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,15.99074389621557
case_004_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,3.31909,0.00142,0.92857143,dominant_p,mgn-service-fallback-v1,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,17.818871381494606
case_004_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,-0.712784,-0.701383,0.0,-135.4619,0.0,1.0,1.71909,12888254.0,31016540438528.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,-135.46190798570618
case_004_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,60.0,5.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.942523,0.334141,0.0,19.52,0.0,1.0,0.117644,0.001585117,364.524689,tokenset,oformer-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,19.520312965564376
case_005_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,180.0,60.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.977465,0.211097,0.0,12.187,0.0,0.035111,0.094886,1.375e-05,0.157447,physics_informed,pinn-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,12.186648412622535
case_005_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,180.0,60.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,2.71909,0.00204,1.78571429,dominant_p,mgn-service-fallback-v1,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,17.818871381494606
case_005_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,180.0,60.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,-0.712783,-0.701384,0.0,-135.4618,0.0,1.0,1.51909,12888414.0,31016882274304.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,-135.46182695983524
case_005_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,180.0,60.0,12.0,75.0,0.12,0.34,0.0,0.68,0.52,0.0,0.960827,0.277148,0.0,16.09,0.0,1.0,0.117644,0.001585117,371.480377,tokenset,oformer-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,16.090065747604243
case_006_basalt,pinn,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,180.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.961306,0.275482,0.0,15.991,0.0,0.035228,0.095151,1.5247e-05,0.196807,physics_informed,pinn-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,15.99074389621557
case_006_basalt,mgn,ok,fallback,True,rect_2d,rect_2d,none,basalt,basalt,180.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.952029,0.306009,0.0,17.8189,0.0,1.0,3.31909,0.0019,1.78571429,dominant_p,mgn-service-fallback-v1,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,17.818871381494606
case_006_basalt,fno,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,180.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,-0.712785,-0.701383,0.0,-135.4619,0.0,1.0,1.71909,12888414.0,31016882274304.0,fno_checkpoint_inference,fno-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,-135.4619481719977
case_006_basalt,transformer,ok,checkpoint,False,rect_2d,rect_2d,none,basalt,basalt,180.0,25.0,16.0,25.0,0.18,0.42,0.0,0.74,0.6,0.0,0.943189,0.332257,0.0,19.406,0.0,1.0,0.117644,0.001585117,371.480377,tokenset,oformer-baseline@best_model.pth,,,200,basalt,Basalt,igneous,2950.0,6400.0,3600.0,97000045714.28572,69856000000.0,38232000000.0,1.8,840.0,8e-06,17.0,97.00004571428572,69.856,38.232,8.0,19.405821528009376
