model,material,n_cases,mean_travel_time_ms,std_travel_time_ms,mean_max_displacement,std_max_displacement,mean_max_temperature_perturbation,std_max_temperature_perturbation,mean_magnitude,std_magnitude
fno,basalt,10,1.3617568,0.33174706295302087,12888310.5,83.83217361683877,31016657669324.8,183107111.75275585,1.0,0.0
fno,granite,10,1.3753076,0.1723331999169052,12888318.3,120.47779878485696,31016688497459.2,287645886.1349556,1.0,0.0
fno,limestone,10,1.3936657000000001,0.26227060632316807,12888314.1,107.34518568102814,31016680737996.8,256042420.50694254,1.0,0.0
fno,sandstone,10,1.2694703,0.27046719391906954,12888393.6,135.5443346906095,31016880386867.2,338160584.8179183,1.0,0.0
mgn,basalt,10,2.3217568,0.8600153011559738,0.0016653339999999999,0.00022339194808925216,1.214285716,0.46168379840017715,1.0,0.0
mgn,granite,10,2.3753076,0.5104226338309592,0.001726668,0.0002952967873099124,1.285714287,0.7260928913824317,1.0,0.0
mgn,limestone,10,2.4336657,0.7882873051023759,0.001664001,0.0003060092567027634,1.2714285730000001,0.6431216407055234,1.0,0.0
mgn,sandstone,10,2.2294703,0.7391256371084013,0.0019033350000000001,0.0003999796136818864,1.7714285740000002,0.8476993023750613,1.0,0.0
pinn,basalt,10,0.0896818,0.011680491397577797,1.5073499999999999e-05,3.780042540912881e-06,0.11010629999999999,0.08674568860378276,0.035359,0.0005813841720889507
pinn,granite,10,0.0893707,0.01770889106290334,1.56975e-05,3.2463567699465476e-06,0.2272378,0.1903092840613814,0.025909500000000002,0.0006479815240850274
pinn,limestone,10,0.08906040000000001,0.019558795703666875,2.33487e-05,6.5413574372772375e-06,0.14028559999999998,0.156452989301508,0.0452668,0.0006769398135071623
pinn,sandstone,10,0.0815809,0.016726423788923517,1.74391e-05,5.134841195207501e-06,0.22547100000000003,0.1628880454490821,0.0406013,0.0006461455030495131
transformer,basalt,10,0.11286529999999999,0.015111576254646633,0.001585117,0.0,366.61130979999996,3.359975589608293,1.0,0.0
transformer,granite,10,0.11140279999999998,0.02115034755059857,0.0013849802000000001,4.2163702133575624e-10,283.6363339,7.741944536291711,1.0,0.0
transformer,limestone,10,0.11387119999999999,0.02534514354006831,0.0020106669000000002,3.3316477404826e-07,699.9391358,5.709608249913974,1.0,0.0
transformer,sandstone,10,0.1039707,0.02226217360382105,0.0013450029,1.8714014623627387e-06,733.7687867,0.45979090785199916,1.0,0.0
